timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1536754227440,1352,HTTP Request,200,OK,www.blazemeter.com 1-2,text,true,,65059,234,8,8,250,0,122
1536754227282,1513,HTTP Request,200,OK,www.blazemeter.com 1-1,text,true,,65051,234,8,8,299,0,162
1536754227641,1315,HTTP Request,200,OK,www.blazemeter.com 1-3,text,true,,65051,234,7,7,254,0,122
1536754227841,1418,HTTP Request,200,OK,www.blazemeter.com 1-4,text,true,,65051,234,7,7,250,0,120
1536754228040,1348,HTTP Request,200,OK,www.blazemeter.com 1-5,text,true,,65051,234,6,6,252,0,122
1536754228240,1320,HTTP Request,200,OK,www.blazemeter.com 1-6,text,true,,65051,234,5,5,255,0,122
1536754228441,2137,HTTP Request,200,OK,www.blazemeter.com 1-7,text,true,,65051,234,4,4,260,0,123
1536754229056,1550,HTTP Request,200,OK,www.blazemeter.com 1-10,text,true,,65051,234,3,3,389,0,253
1538232892149,383,HTTP Request,200,OK,www.example.com 1-3,text,true,,1597,116,40,40,383,0,170
1538232892198,336,HTTP Request,200,OK,www.example.com 1-11,text,true,,1597,116,40,40,336,0,125
1538232892149,385,HTTP Request,200,OK,www.example.com 1-5,text,true,,1597,116,40,40,383,0,167
1538232892149,388,HTTP Request,200,OK,www.example.com 1-1,text,true,,1592,116,40,40,383,0,173
1538232892147,392,HTTP Request,200,OK,www.example.com 1-7,text,true,,1592,116,40,40,392,0,175
1538232892148,403,HTTP Request,200,OK,www.example.com 1-6,text,true,,1613,116,41,41,403,0,179
1538232892149,412,HTTP Request,200,OK,www.example.com 1-4,text,true,,1597,116,42,42,409,0,178
1538232892189,384,HTTP Request,200,OK,www.example.com 1-10,text,true,,1613,116,43,43,384,0,164
1538232892178,395,HTTP Request,200,OK,www.example.com 1-9,text,true,,1592,116,43,43,395,0,172
