timeStamp,service,type,success,responseTime,bytes
1546447170243,/,GET,1,296.344041824,1270
1546447171357,/,GET,1,408.697128296,1270
1546447171357,/,GET,1,408.697128296,1270
1546447172183,/,GET,1,234.562158585,1270
1546447172183,/,GET,1,234.562158585,1270
1546447172183,/,GET,1,234.562158585,1270
1546447173215,/,GET,1,264.899969101,1270
1546447173215,/,GET,1,264.899969101,1270
1546447173215,/,GET,1,264.899969101,1270
1546447173215,/,GET,1,264.899969101,1270
1546447174207,/,GET,1,255.574941635,1270
1546447174207,/,GET,1,255.574941635,1270
1546447174207,/,GET,1,255.574941635,1270
1546447174207,/,GET,1,255.574941635,1270
1546447174207,/,GET,1,255.574941635,1270
1546447175197,/,GET,1,244.583129883,1270
1546447175197,/,GET,1,244.583129883,1270
1546447175197,/,GET,1,244.583129883,1270
1546447175197,/,GET,1,244.583129883,1270
1546447175197,/,GET,1,244.583129883,1270
1546447175197,/,GET,1,244.583129883,1270
1546447175505,/,GET,1,122.933864594,1270
1546447175505,/,GET,1,122.933864594,1270
1546447175505,/,GET,1,122.933864594,1270
1546447175505,/,GET,1,122.933864594,1270
1546447175505,/,GET,1,122.933864594,1270
1546447175505,/,GET,1,122.933864594,1270
1546447176213,/,GET,1,260.22195816,1270
1546447176213,/,GET,1,260.22195816,1270
1546447176213,/,GET,1,260.22195816,1270
1546447176213,/,GET,1,260.22195816,1270
1546447176213,/,GET,1,260.22195816,1270
1546447176213,/,GET,1,260.22195816,1270
1546447176213,/,GET,1,260.22195816,1270
1546447176623,/,GET,1,120.735168457,1270
1546447176623,/,GET,1,120.735168457,1270
1546447176623,/,GET,1,120.735168457,1270
1546447176623,/,GET,1,120.735168457,1270
1546447176623,/,GET,1,120.735168457,1270
1546447176623,/,GET,1,120.735168457,1270
1546447176623,/,GET,1,120.735168457,1270
1546447176852,/,GET,1,113.717079163,1270
1546447176852,/,GET,1,113.717079163,1270
1546447176852,/,GET,1,113.717079163,1270
1546447176852,/,GET,1,113.717079163,1270
1546447176852,/,GET,1,113.717079163,1270
1546447176852,/,GET,1,113.717079163,1270
1546447176852,/,GET,1,113.717079163,1270
1546447177192,/,GET,1,238.5430336,1270
1546447177192,/,GET,1,238.5430336,1270
1546447177192,/,GET,1,238.5430336,1270
1546447177192,/,GET,1,238.5430336,1270
1546447177192,/,GET,1,238.5430336,1270
1546447177192,/,GET,1,238.5430336,1270
1546447177192,/,GET,1,238.5430336,1270
1546447177192,/,GET,1,238.5430336,1270
1546447177238,/,GET,1,129.080057144,1270
1546447177238,/,GET,1,129.080057144,1270
1546447177238,/,GET,1,129.080057144,1270
1546447177238,/,GET,1,129.080057144,1270
1546447177238,/,GET,1,129.080057144,1270
1546447177238,/,GET,1,129.080057144,1270
1546447177238,/,GET,1,129.080057144,1270
1546447177238,/,GET,1,129.080057144,1270
1546447178212,/,GET,1,258.083820343,1270
1546447178212,/,GET,1,258.083820343,1270
1546447178212,/,GET,1,258.083820343,1270
1546447178212,/,GET,1,258.083820343,1270
1546447178212,/,GET,1,258.083820343,1270
1546447178212,/,GET,1,258.083820343,1270
1546447178212,/,GET,1,258.083820343,1270
1546447178212,/,GET,1,258.083820343,1270
1546447178212,/,GET,1,258.083820343,1270
1546447178574,/,GET,1,117.924928665,1270
1546447178574,/,GET,1,117.924928665,1270
1546447178574,/,GET,1,117.924928665,1270
1546447178574,/,GET,1,117.924928665,1270
1546447178574,/,GET,1,117.924928665,1270
1546447178574,/,GET,1,117.924928665,1270
1546447178574,/,GET,1,117.924928665,1270
1546447178574,/,GET,1,117.924928665,1270
1546447178574,/,GET,1,117.924928665,1270
1546447179199,/,GET,1,243.334770203,1270
1546447179199,/,GET,1,243.334770203,1270
1546447179199,/,GET,1,243.334770203,1270
1546447179199,/,GET,1,243.334770203,1270
1546447179199,/,GET,1,243.334770203,1270
1546447179199,/,GET,1,243.334770203,1270
1546447179199,/,GET,1,243.334770203,1270
1546447179199,/,GET,1,243.334770203,1270
1546447179199,/,GET,1,243.334770203,1270
1546447179199,/,GET,1,243.334770203,1270
1546447180081,/,GET,1,112.262010574,1270
1546447180081,/,GET,1,112.262010574,1270
1546447180081,/,GET,1,112.262010574,1270
1546447180081,/,GET,1,112.262010574,1270
1546447180081,/,GET,1,112.262010574,1270
1546447180081,/,GET,1,112.262010574,1270
1546447180081,/,GET,1,112.262010574,1270
1546447180081,/,GET,1,112.262010574,1270
1546447180081,/,GET,1,112.262010574,1270
1546447180081,/,GET,1,112.262010574,1270
1546447180081,/,GET,1,112.262010574,1270
1546447180229,/,GET,1,272.429943085,1270
1546447180229,/,GET,1,272.429943085,1270
1546447180229,/,GET,1,272.429943085,1270
1546447180229,/,GET,1,272.429943085,1270
1546447180229,/,GET,1,272.429943085,1270
1546447180229,/,GET,1,272.429943085,1270
1546447180229,/,GET,1,272.429943085,1270
1546447180229,/,GET,1,272.429943085,1270
1546447180229,/,GET,1,272.429943085,1270
1546447180229,/,GET,1,272.429943085,1270
1546447180229,/,GET,1,272.429943085,1270
1546447180364,/,GET,1,126.084089279,1270
1546447180364,/,GET,1,126.084089279,1270
1546447180364,/,GET,1,126.084089279,1270
1546447180364,/,GET,1,126.084089279,1270
1546447180364,/,GET,1,126.084089279,1270
1546447180364,/,GET,1,126.084089279,1270
1546447180364,/,GET,1,126.084089279,1270
1546447180364,/,GET,1,126.084089279,1270
1546447180364,/,GET,1,126.084089279,1270
1546447180364,/,GET,1,126.084089279,1270
1546447180364,/,GET,1,126.084089279,1270
1546447180743,/,GET,1,114.453792572,1270
1546447180743,/,GET,1,114.453792572,1270
1546447180743,/,GET,1,114.453792572,1270
1546447180743,/,GET,1,114.453792572,1270
1546447180743,/,GET,1,114.453792572,1270
1546447180743,/,GET,1,114.453792572,1270
1546447180743,/,GET,1,114.453792572,1270
1546447180743,/,GET,1,114.453792572,1270
1546447180743,/,GET,1,114.453792572,1270
1546447180743,/,GET,1,114.453792572,1270
1546447180743,/,GET,1,114.453792572,1270
1546447180994,/,GET,1,114.64381218,1270
1546447180994,/,GET,1,114.64381218,1270
1546447180994,/,GET,1,114.64381218,1270
1546447180994,/,GET,1,114.64381218,1270
1546447180994,/,GET,1,114.64381218,1270
1546447180994,/,GET,1,114.64381218,1270
1546447180994,/,GET,1,114.64381218,1270
1546447180994,/,GET,1,114.64381218,1270
1546447180994,/,GET,1,114.64381218,1270
1546447180994,/,GET,1,114.64381218,1270
1546447180994,/,GET,1,114.64381218,1270
1546447180994,/,GET,1,114.64381218,1270
1546447181201,/,GET,1,244.595050812,1270
1546447181201,/,GET,1,244.595050812,1270
1546447181201,/,GET,1,244.595050812,1270
1546447181201,/,GET,1,244.595050812,1270
1546447181201,/,GET,1,244.595050812,1270
1546447181201,/,GET,1,244.595050812,1270
1546447181201,/,GET,1,244.595050812,1270
1546447181201,/,GET,1,244.595050812,1270
1546447181201,/,GET,1,244.595050812,1270
1546447181201,/,GET,1,244.595050812,1270
1546447181201,/,GET,1,244.595050812,1270
1546447181201,/,GET,1,244.595050812,1270
1546447181313,/,GET,1,122.828960419,1270
1546447181313,/,GET,1,122.828960419,1270
1546447181313,/,GET,1,122.828960419,1270
1546447181313,/,GET,1,122.828960419,1270
1546447181313,/,GET,1,122.828960419,1270
1546447181313,/,GET,1,122.828960419,1270
1546447181313,/,GET,1,122.828960419,1270
1546447181313,/,GET,1,122.828960419,1270
1546447181313,/,GET,1,122.828960419,1270
1546447181313,/,GET,1,122.828960419,1270
1546447181313,/,GET,1,122.828960419,1270
1546447181313,/,GET,1,122.828960419,1270
1546447181539,/,GET,1,116.319894791,1270
1546447181539,/,GET,1,116.319894791,1270
1546447181539,/,GET,1,116.319894791,1270
1546447181539,/,GET,1,116.319894791,1270
1546447181539,/,GET,1,116.319894791,1270
1546447181539,/,GET,1,116.319894791,1270
1546447181539,/,GET,1,116.319894791,1270
1546447181539,/,GET,1,116.319894791,1270
